"OrganizationID","PersonalIdentificationNumber","LegalFirstName","LegalMiddleName","LegalLastName","LegalSuffix","SocialSecurityNumber","SocialSecNumberQualityCode","DateOfBirth","DateOfBirthQualityCode","PrimaryRace","SecondaryRace","Ethnicity","Gender","DateAdded","DateUpdated","UpdateOrDelete","IdentityVerification","ReleaseOfInformation","ExportIDStr"
31,30486,"Parish","Y","Phena","","300030486","1","4/24/1988","1","3","","0","0","12/16/2004","","",,,152
31,33636,"Purlina","Y","Panache","Jr.","300033636","1","2/3/1969","1","5","","0","1","2/24/2005","","",,,152
31,39976,"Apple","","Papacy","MSW, LISW","300039976","1","4/13/1962","1","5","","0","0","6/28/2005","","",,,152
31,61985,"Parmida","X","Puptent","","","8","6/26/1968","1","","","9","","11/13/2007","","",,,152
31,62008,"Paula","Z","Phamily","","300062008","1","5/13/1991","1","3","","0","0","11/14/2007","","",,,152
31,62009,"Pauletta","F","Phederal","","300062009","1","1/16/1994","1","3","","0","0","11/14/2007","","",,,152
31,62011,"Paulina","T","Phelicitate","","300062011","1","3/10/1995","1","3","","0","0","11/14/2007","","",,,152
31,64036,"Miranda","X","Papadakis","","300064036","1","12/5/1988","1","3","","0","0","2/29/2008","","",,,152
31,64037,"Molly","Y","Paparodis","","300064037","1","","8","3","","0","0","2/29/2008","","",,,152
31,69239,"Philantha","Z","Pond","","300069239","1","11/17/1970","1","3","","0","0","10/20/2008","","",,,152
31,70999,"Pebbles","T","Pearson","","300070999","1","","","3","","0","0","1/13/2009","","",,,152
31,71000,"Pegeen","","Peart","","300071000","1","11/2/2007","1","3","","0","0","1/13/2009","","",,,152
31,75268,"Pirro","R","Phelan","","300075268","1","9/25/1960","1","3","","0","0","7/8/2009","","",,,152
31,77525,"Pablo","X","Patel","","300077525","1","3/18/1985","1","3","","1","0","9/7/2009","","",,,152
31,77526,"Paciencia","Y","Patent","","300077526","8","1/25/2005","1","3","","1","0","9/7/2009","","",,,152
31,84421,"Opus","Y","Pedagogue","","300084421","1","5/8/1986","1","5","","0","0","2/19/2010","","",,,152
31,84422,"Orange","Z","Pedant","","300084422","1","1/1/1995","1","5","","1","1","2/19/2010","","",,,152
31,84423,"Pabla","F","Pediatrics","","300084423","1","1/23/2009","1","5","","1","1","2/19/2010","","",,,152
31,86711,"Josefina","","Smith","","987123456","1","9/2/1972","2","","","9","0","3/18/2011","","",,,152
31,86712,"Phineas","","Phylum","","123456987","1","9/2/1993","1","1","4","0","1","3/18/2011","","",,,152
